,date,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population, Inflation Rate (%),Cummalitive,0_BR_adjust,1_BR_adjust,2_BR_adjust,3_BR_adjust,4_BR_adjust
0,2006,865,1045,1238,1679,2079,1443741.0,3.2259,0.332119,1152.282935,1392.064355,1649.1633219999999,2236.627801,2769.475401
1,2007,874,1055,1250,1695,2099,1443741.0,2.8527,0.29986,1136.07764,1371.3523,1624.825,2203.2627,2728.40614
2,2008,866,1046,1239,1680,2080,1443741.0,3.8391,0.271333,1100.974378,1329.814318,1575.181587,2135.8394399999997,2644.37264
3,2009,905,1093,1295,1756,2174,1443741.0,-0.3555,0.232942,1115.81251,1347.605606,1596.65989,2165.046152,2680.415908
4,2010,963,1162,1377,1867,2312,1443741.0,1.64,0.23649699999999999,1190.746611,1436.809514,1702.656369,2308.539899,2858.781064
5,2011,974,1176,1393,1889,2339,1443741.0,3.1568,0.22009700000000001,1188.374478,1434.834072,1699.595121,2304.763233,2853.806883
6,2012,980,1183,1402,1901,2354,1443741.0,2.0693,0.18852900000000003,1164.7584200000001,1406.0298070000001,1666.317658,2259.393629,2797.797266
7,2013,892,1082,1361,1901,2332,1510271.0,1.4648,0.16783600000000004,1041.709712,1263.598552,1589.424796,2220.056236,2723.393552
8,2014,1035,1255,1578,2204,2704,1510271.0,1.6222,0.15318800000000005,1193.54958,1447.2509400000001,1819.7306640000002,2541.626352,3118.2203520000003
9,2015,1039,1260,1585,2213,2716,1510271.0,0.1186,0.136966,1181.307674,1432.57716,1802.09111,2516.105758,3087.999656
10,2016,1380,1663,2103,2932,3268,1510271.0,1.2616,0.13577999999999998,1567.3764,1888.80214,2388.54534,3330.10696,3711.72904
11,2017,1435,1723,2173,3017,3477,1510271.0,2.1301,0.123164,1611.74034,1935.211572,2440.635372,3388.585788,3905.241228
12,2018,1540,1855,2329,3219,3946,1510271.0,2.4426,0.101863,1696.86902,2043.955865,2566.238927,3546.896997,4347.951398
13,2019,1409,1706,2126,2925,3587,1510271.0,1.8122,0.07743699999999999,1518.108733,1838.107522,2290.631062,3151.503225,3864.766519
14,2020,1488,1808,2239,3042,3720,1629615.0,1.2336,0.059315,1576.26072,1915.24152,2371.806285,3222.43623,3940.6518
15,2021,1595,1934,2383,3196,3863,1629615.0,4.6979,0.046979,1669.931505,2024.857386,2494.950957,3346.144884,4044.4798769999998
0,2022,1632,1981,2449,3104,3931,,,,,,,,
